Anno,1h,3h,6h,12h,24h
1980,13.8,19.8,23.8,27.4,46.8
1981,13.8,27.4,43.4,53.8,91.4
1982,26.8,34.8,39.8,42.8,49.2
1983,14.6,19.6,27.2,48.2,95.0
1984,NaN,NaN,Nan,NaN,NaN
1985,16.8,29.8,52.2,79.4,87.6
1986,14.0,19.0,33.0,46.2,92.2
1987,20.0,37.0,50.0,71.4,109.2
1988,NaN,NaN,Nan,NaN,NaN
1989,NaN,NaN,Nan,NaN,NaN
1990,NaN,NaN,Nan,NaN,NaN
1991,NaN,NaN,Nan,NaN,NaN
1992,10.2,22.4,32.6,54.6,75.6
1993,12.6,26.8,46.4,62.2,84.0
1994,35.8,42.0,42.4,44.8,57.8
1995,16.0,18.0,30.8,49.4,56.8
1996,9.6,17.8,26.0,37.6,56.6
1997,33.6,41.2,44.4,63.0,75.8
1998,9.6,17.0,22.2,35.2,56.6
1999,14.4,28.0,50.2,84.6,107.0
2000,15.4,30.2,50.0,63.8,91.4
2001,15.0,34.6,51.0,58.0,64.0
2002,28.0,37.2,46.6,83.8,129.4
2003,22.0,26.6,36.4,63.6,90.6
2004,14.2,23.0,32.2,46.8,72.6
2005,25.4,32.6,37.0,39.6,48.8
2006,NaN,NaN,Nan,NaN,NaN
2007,13.0,17.8,25.2,32.8,52.0
2008,11.8,18.2,26.0,41.0,62.0
2000,NaN,NaN,Nan,NaN,NaN
2010,13.0,30.6,50.8,75.8,83.8
2011,12.8,26.2,36.2,44.6,81.6
2012,32.6,39.2,48.4,58.6,76.2
2013,10.8,23.6,38.6,67.0,76.6
2014,NaN,NaN,NaN,NaN,NaN
2015,15.6,25.6,28.8,37.4,49.8
2016,11.4,22.2,32.8,41.2,50.2
2017,22.8,27.8,29.2,42.8,67.8
2018,20.0,37.4,66.6,100.0,125.2
2019,17.8,26.4,37.6,51.4,74.2
2020,18.0,37.6,60.4,87.4,123.0
2021,13.4,25.6,42.0,56.2,59.8
